"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)","Media notes","Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,mediaDownloadUrl,report_as
284095791,Photo,"Alectoris chukar",Chukar,,"Karma Sonam",11/29/2020,2020,11,29,920,India,IN-JK-LE,"Jammu and Kashmir","Leh (ladakh)",Rumtse,33.6299,77.7591,,,,Unspecified,,,,,,,,S76837872,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MzgyNzMx",3456,4608,"https://macaulaylibrary.org/asset/284095791","https://ebird.org/view/checklist/S76837872","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
284095781,Photo,"Alectoris chukar",Chukar,,"Karma Sonam",11/29/2020,2020,11,29,920,India,IN-JK-LE,"Jammu and Kashmir","Leh (ladakh)",Rumtse,33.6299,77.7591,,,,Unspecified,,,,,,,,S76837872,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MzgyNzMx",3456,4608,"https://macaulaylibrary.org/asset/284095781","https://ebird.org/view/checklist/S76837872","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
284095771,Photo,"Alectoris chukar",Chukar,,"Karma Sonam",11/29/2020,2020,11,29,920,India,IN-JK-LE,"Jammu and Kashmir","Leh (ladakh)",Rumtse,33.6299,77.7591,,,,Unspecified,,,,,,,,S76837872,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MzgyNzMx",3456,4608,"https://macaulaylibrary.org/asset/284095771","https://ebird.org/view/checklist/S76837872","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
284095761,Photo,"Alectoris chukar",Chukar,,"benny cottele",3/22/2016,2016,3,22,1630,Israel,IL-Z,HaZafon,,"Kibbutz Kfar Ruppin קיבוץ כפר רופין",32.4585,35.5569,,,,Unspecified,,,,,,,,S76893930,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,,1317,2633,"https://macaulaylibrary.org/asset/284095761","https://ebird.org/view/checklist/S76893930","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
284095751,Photo,"Alectoris chukar",Chukar,,"Karma Sonam",11/29/2020,2020,11,29,920,India,IN-JK-LE,"Jammu and Kashmir","Leh (ladakh)",Rumtse,33.6299,77.7591,,,,Unspecified,,,,,,,,S76837872,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MzgyNzMx",3456,4608,"https://macaulaylibrary.org/asset/284095751","https://ebird.org/view/checklist/S76837872","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
283816391,Photo,"Alectoris chukar",Chukar,,"Kudaibergen Amirekul",11/12/2020,2020,11,12,1030,Kazakhstan,KZ-YUZ,"Ongtüstik Qazaqstan oblysy",,"линейная 19, Шымкент, Южно-Казахстанская область, KZ (42,327, 69,52)",42.3275,69.52,,,,Unspecified,,,,,,,,S76856087,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MTA1NzEyNQ",1143,1713,"https://macaulaylibrary.org/asset/283816391","https://ebird.org/view/checklist/S76856087","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
283816381,Photo,"Alectoris chukar",Chukar,,"Kudaibergen Amirekul",11/12/2020,2020,11,12,1030,Kazakhstan,KZ-YUZ,"Ongtüstik Qazaqstan oblysy",,"линейная 19, Шымкент, Южно-Казахстанская область, KZ (42,327, 69,52)",42.3275,69.52,,,,Unspecified,,,,,,,,S76856087,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MTA1NzEyNQ",1085,1626,"https://macaulaylibrary.org/asset/283816381","https://ebird.org/view/checklist/S76856087","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
283766341,Photo,"Alectoris chukar",Chukar,,"steve boyack",7/5/2007,2007,7,5,800,"United States",US-UT-007,Utah,Carbon,"Frontage rd",39.7077,-110.871,,,,Unspecified,,,,,,,,S76843519,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/NTAxNDI0",2268,3402,"https://macaulaylibrary.org/asset/283766341","https://ebird.org/view/checklist/S76843519","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
283766321,Photo,"Alectoris chukar",Chukar,,"steve boyack",7/5/2007,2007,7,5,800,"United States",US-UT-007,Utah,Carbon,"Frontage rd",39.7077,-110.871,,,,Unspecified,,,,,,,,S76843519,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/NTAxNDI0",2268,3402,"https://macaulaylibrary.org/asset/283766321","https://ebird.org/view/checklist/S76843519","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
283766311,Photo,"Alectoris chukar",Chukar,,"steve boyack",7/5/2007,2007,7,5,800,"United States",US-UT-007,Utah,Carbon,"Frontage rd",39.7077,-110.871,,,,Unspecified,,,,,,,,S76843519,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/NTAxNDI0",2268,3402,"https://macaulaylibrary.org/asset/283766311","https://ebird.org/view/checklist/S76843519","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
283766291,Photo,"Alectoris chukar",Chukar,,"steve boyack",7/5/2007,2007,7,5,800,"United States",US-UT-007,Utah,Carbon,"Frontage rd",39.7077,-110.871,,,,Unspecified,,,,,,,,S76843519,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/NTAxNDI0",2268,3402,"https://macaulaylibrary.org/asset/283766291","https://ebird.org/view/checklist/S76843519","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
283546791,Photo,"Alectoris chukar",Chukar,,"Ursula K Heise",11/28/2020,2020,11,28,700,"United States",US-CA-071,California,"San Bernardino","1627 Roadrunner Rut Rd. | Pioneertown",34.2192,-116.5115,,,,Unspecified,,,,,,,,S76811809,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,,3456,4608,"https://macaulaylibrary.org/asset/283546791","https://ebird.org/view/checklist/S76811809","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
283484901,Photo,"Alectoris chukar",Chukar,,"Michael Long",11/22/2020,2020,11,22,1211,"United States",US-HI-009,Hawaii,Maui,"Haleakala NP--Hosmer Grove",20.7684,-156.2366,,,,Unspecified,,,,,,,,S76594635,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MTY3NTUxMA",2592,3888,"https://macaulaylibrary.org/asset/283484901","https://ebird.org/view/checklist/S76594635","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
283146991,Photo,"Alectoris chukar",Chukar,,"Ursula K Heise",11/26/2020,2020,11,26,1000,"United States",US-CA-071,California,"San Bernardino","1627 Roadrunner Rut Rd. | Pioneertown",34.2192,-116.5115,,,,Unspecified,,,,,,,,S76737927,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,,3456,4608,"https://macaulaylibrary.org/asset/283146991","https://ebird.org/view/checklist/S76737927","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
283000861,Photo,"Alectoris chukar",Chukar,,"Daniel Romney",11/26/2020,2020,11,26,830,"United States",US-UT-049,Utah,Utah,"Lehi Lakeview Estates Park Area, UT",40.4441,-111.874,,,,Unspecified,,,,,,,,S76717654,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,2.0,1,committed,,,2592,3872,"https://macaulaylibrary.org/asset/283000861","https://ebird.org/view/checklist/S76717654","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
282502721,Photo,"Alectoris chukar",Chukar,,"Tomasz Wilk",2/22/2018,2018,2,22,0,Israel,IL-D,HaDarom,,"Ezuz Road--km 7 תצפית נחל ניצנה",30.8252,34.4697,,,,Unspecified,,,,,,,,S76638078,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/NDQ0Njk0",933,1400,"https://macaulaylibrary.org/asset/282502721","https://ebird.org/view/checklist/S76638078","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
282168381,Photo,"Alectoris chukar",Chukar,,"Brian Willson",11/22/2020,2020,11,22,820,"United States",US-UT-035,Utah,"Salt Lake","Dragon’s Tail Area",40.6982,-111.7828,,,,Unspecified,,,,,,,,S76582594,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MTMzMzYw",1500,2000,"https://macaulaylibrary.org/asset/282168381","https://ebird.org/view/checklist/S76582594","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
281843101,Photo,"Alectoris chukar",Chukar,,"Yechiel Scheinfeld",11/20/2020,2020,11,20,754,Israel,IL-D,HaDarom,,"Celia's hide המסתור של סיליה",30.7904,34.4714,,,,Unspecified,,,,,,,,S76434800,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MTQxMDIxNQ",1237,1855,"https://macaulaylibrary.org/asset/281843101","https://ebird.org/view/checklist/S76434800","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
281422181,Photo,"Alectoris chukar",Chukar,,"Chad Fike",5/18/2005,2005,5,18,0,"United States",US-UT-037,Utah,"San Juan","Indian Creek Reservoir",38.0781,-109.5646,,,,Unspecified,,,,,,,,S20738434,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/NDMzNDY5",439,585,"https://macaulaylibrary.org/asset/281422181","https://ebird.org/view/checklist/S20738434","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
281217841,Photo,"Alectoris chukar",Chukar,,"Nilesh Shevgaonkar",7/12/2019,2019,7,12,1025,India,IN-JK-LE,"Jammu and Kashmir","Leh (ladakh)",Ladakh,34.0092,77.691,,,,Unspecified,,,,,,,,S76432249,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/OTY2NTMy",3064,4405,"https://macaulaylibrary.org/asset/281217841","https://ebird.org/view/checklist/S76432249","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
281217831,Photo,"Alectoris chukar",Chukar,,"Nilesh Shevgaonkar",7/12/2019,2019,7,12,1025,India,IN-JK-LE,"Jammu and Kashmir","Leh (ladakh)",Ladakh,34.0092,77.691,,,,Unspecified,,,,,,,,S76432249,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/OTY2NTMy",2448,3952,"https://macaulaylibrary.org/asset/281217831","https://ebird.org/view/checklist/S76432249","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
281078971,Photo,"Alectoris chukar",Chukar,,"Keith Carlson",11/19/2020,2020,11,19,955,"United States",US-WA-003,Washington,Asotin,"Cloverland Grade",46.3104,-117.125,,,,Unspecified,,,,,,,,S76418115,,,,,"two large coveys",,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,,2800,3500,"https://macaulaylibrary.org/asset/281078971","https://ebird.org/view/checklist/S76418115","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
280769541,Photo,"Alectoris chukar",Chukar,,"Rebecca Hartman",11/6/2020,2020,11,6,1205,"United States",US-OR-045,Oregon,Malheur,"Indian Gulch Road, Ironside, Oregon, US (44.368, -117.761)",44.3684,-117.7605,,,,Unspecified,,,,,,,,S75919436,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/NDEyNzk1",1898,2718,"https://macaulaylibrary.org/asset/280769541","https://ebird.org/view/checklist/S75919436","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
280475351,Photo,"Alectoris chukar",Chukar,,"Cheryl & Scott Taylor",5/23/2020,2020,5,23,1315,"United States",US-UT-011,Utah,Davis,"Antelope Island State Park",41.0406,-112.2734,,,,Unspecified,,,,,,,,S76316041,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,,2827,4141,"https://macaulaylibrary.org/asset/280475351","https://ebird.org/view/checklist/S76316041","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
280475341,Photo,"Alectoris chukar",Chukar,,"Cheryl & Scott Taylor",5/23/2020,2020,5,23,1315,"United States",US-UT-011,Utah,Davis,"Antelope Island State Park",41.0406,-112.2734,,,,Unspecified,,,,,,,,S76316041,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,,2312,4110,"https://macaulaylibrary.org/asset/280475341","https://ebird.org/view/checklist/S76316041","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
280376781,Photo,"Alectoris chukar",Chukar,,"Steve Rogers",11/5/2020,2020,11,5,1645,"United States",US-WA-003,Washington,Asotin,"11458–11498 Highway 129, Asotin US-WA (46.3264,-117.0428)",46.3264,-117.0428,,,,Unspecified,,,,,,,,S76152737,,,,,"A whole raft of them feeding in front of the house right at the very top of the grade. Have picture of half the flock as they were spread out. It looks like the one picture has about 36 birds in it.",,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MTQ2MjU5",3024,4032,"https://macaulaylibrary.org/asset/280376781","https://ebird.org/view/checklist/S76152737","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
280376661,Photo,"Alectoris chukar",Chukar,,"Steve Rogers",11/5/2020,2020,11,5,1645,"United States",US-WA-003,Washington,Asotin,"11458–11498 Highway 129, Asotin US-WA (46.3264,-117.0428)",46.3264,-117.0428,,,,Unspecified,,,,,,,,S76152737,,,,,"A whole raft of them feeding in front of the house right at the very top of the grade. Have picture of half the flock as they were spread out. It looks like the one picture has about 36 birds in it.",,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MTQ2MjU5",3024,4032,"https://macaulaylibrary.org/asset/280376661","https://ebird.org/view/checklist/S76152737","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
280036261,Photo,"Alectoris chukar",Chukar,,"Tom Wuenschell",11/14/2020,2020,11,14,1255,"United States",US-UT-003,Utah,"Box Elder","Golden Spike NHS--West Auto Tour",41.5591,-112.6245,,,,Unspecified,,,,,,,,S76258005,,,,,"Just past the ""10 miles of track laid in one day"" sign.",,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/NTU1ODQz",3456,4608,"https://macaulaylibrary.org/asset/280036261","https://ebird.org/view/checklist/S76258005","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
280036241,Photo,"Alectoris chukar",Chukar,,"Tom Wuenschell",11/14/2020,2020,11,14,1255,"United States",US-UT-003,Utah,"Box Elder","Golden Spike NHS--West Auto Tour",41.5591,-112.6245,,,,Unspecified,,,,,,,,S76258005,,,,,"Just past the ""10 miles of track laid in one day"" sign.",,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/NTU1ODQz",3456,4608,"https://macaulaylibrary.org/asset/280036241","https://ebird.org/view/checklist/S76258005","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
280036191,Photo,"Alectoris chukar",Chukar,,"Tom Wuenschell",11/14/2020,2020,11,14,1255,"United States",US-UT-003,Utah,"Box Elder","Golden Spike NHS--West Auto Tour",41.5591,-112.6245,,,,Unspecified,,,,,,,,S76258005,,,,,"Just past the ""10 miles of track laid in one day"" sign.",,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/NTU1ODQz",3456,4608,"https://macaulaylibrary.org/asset/280036191","https://ebird.org/view/checklist/S76258005","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
279539591,Photo,"Alectoris chukar",Chukar,,"Roniq Bartanen",11/4/2020,2020,11,4,1006,"United States",US-WA-007,Washington,Chelan,"Saddle Rock City Park",47.3967,-120.3303,,,,Unspecified,,,,,,,,S75910411,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,,704,704,"https://macaulaylibrary.org/asset/279539591","https://ebird.org/view/checklist/S75910411","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
278545031,Photo,"Alectoris chukar",Chukar,,"Deepak Garg Sharma",10/17/2020,2020,10,17,700,India,IN-HP-CH,"Himachal Pradesh",Chamba,"Dhar Sad, Himachal Pradesh, IN (32.54, 76.501)",32.54,76.5015,,,,Unspecified,,,,,,,,S76026217,,,,,"Carrying some food in bushes and Singing their in Alert call.",,,,"Alectoris chukar",chukar,Species,1214.0,,,2.0,1,committed,,"https://ebird.org/profile/MTI0ODI0OA",2611,3917,"https://macaulaylibrary.org/asset/278545031","https://ebird.org/view/checklist/S76026217","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
278542171,Photo,"Alectoris chukar",Chukar,,"Deepak Garg Sharma",10/17/2020,2020,10,17,700,India,IN-HP-CH,"Himachal Pradesh",Chamba,"Dhar Sad, Himachal Pradesh, IN (32.54, 76.501)",32.54,76.5015,,,,Unspecified,,,,,,,,S76026217,,,,,"Carrying some food in bushes and Singing their in Alert call.",,,,"Alectoris chukar",chukar,Species,1214.0,,,3.0,1,committed,,"https://ebird.org/profile/MTI0ODI0OA",1400,2100,"https://macaulaylibrary.org/asset/278542171","https://ebird.org/view/checklist/S76026217","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
278533991,Photo,"Alectoris chukar",Chukar,,"Deepak Garg Sharma",10/17/2020,2020,10,17,700,India,IN-HP-CH,"Himachal Pradesh",Chamba,"Dhar Sad, Himachal Pradesh, IN (32.54, 76.501)",32.54,76.5015,,,,Unspecified,,,,,,,,S76026217,,,,,"Carrying some food in bushes and Singing their in Alert call.",,,,"Alectoris chukar",chukar,Species,1214.0,,,3.0,1,committed,,"https://ebird.org/profile/MTI0ODI0OA",2277,3895,"https://macaulaylibrary.org/asset/278533991","https://ebird.org/view/checklist/S76026217","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
278418151,Photo,"Alectoris chukar",Chukar,,"Thomas Takano",11/8/2020,2020,11,8,1224,"United States",US-NV-031,Nevada,Washoe,"Leadville Canyon",40.9819,-119.3437,,,,Unspecified,,,,,,,,S76016665,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,,2123,2742,"https://macaulaylibrary.org/asset/278418151","https://ebird.org/view/checklist/S76016665","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
277995161,Photo,"Alectoris chukar",Chukar,,"Mike & Angela Stahl",10/18/2008,2008,10,18,1804,"United States",US-NV-003,Nevada,Clark,"NV, Red Rock Canyon National Conservation Area",36.1585,-115.4523,,,,Unspecified,,,,,,,,S7457835,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,,2592,3888,"https://macaulaylibrary.org/asset/277995161","https://ebird.org/view/checklist/S7457835","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
277995021,Photo,"Alectoris chukar",Chukar,,"Mike & Angela Stahl",10/18/2008,2008,10,18,1804,"United States",US-NV-003,Nevada,Clark,"NV, Red Rock Canyon National Conservation Area",36.1585,-115.4523,,,,Unspecified,,,,,,,,S7457835,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,,2592,3888,"https://macaulaylibrary.org/asset/277995021","https://ebird.org/view/checklist/S7457835","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
277875091,Photo,"Alectoris chukar",Chukar,,"RJ Baltierra",9/17/2020,2020,9,17,848,"United States",US-WA-075,Washington,Whitman,"Steptoe Butte",47.0323,-117.2962,,Unknown,,Unspecified,,,,,,,,S73709800,,,,,"Close to exact. Large covey with many young birds, I photo'd 11 young in one frame but there were at least 5 or 6 more plus a few more adults.",,,,"Alectoris chukar",chukar,Species,1214.0,,,3.0,1,committed,,"https://ebird.org/profile/MjUzMDk5",2374,4220,"https://macaulaylibrary.org/asset/277875091","https://ebird.org/view/checklist/S73709800","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
277299181,Photo,"Alectoris chukar",Chukar,,"Gerd Schön",4/3/2018,2018,4,3,600,Israel,IL-D,HaDarom,,"Midreshet Ben-Gurion מדרשת בן גוריון",30.8513,34.7814,,Unknown,,Unspecified,,,,,,,,S75823988,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,5.0,1,committed,,"https://ebird.org/profile/MTQ5OTIwOA",5000,7500,"https://macaulaylibrary.org/asset/277299181","https://ebird.org/view/checklist/S75823988","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
277225421,Photo,"Alectoris chukar",Chukar,,"Sonam Choldan",11/3/2020,2020,11,3,950,India,IN-JK-LE,"Jammu and Kashmir","Leh (ladakh)","Rong (33.757, 77.89)",33.7569,77.8901,,,,Unspecified,,,,,,,,S75771227,,,,,Common,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MTIxMDc0OA",1396,1508,"https://macaulaylibrary.org/asset/277225421","https://ebird.org/view/checklist/S75771227","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
276987321,Photo,"Alectoris chukar",Chukar,,"Itay Berger",11/3/2020,2020,11,3,549,Israel,IL-M,HaMerkaz,,"שדות קיבוץ עינת",32.0891,34.9433,,,,Unspecified,,,,,,,,S75769098,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MTA2NDU2MQ",3456,4608,"https://macaulaylibrary.org/asset/276987321","https://ebird.org/view/checklist/S75769098","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
276987311,Photo,"Alectoris chukar",Chukar,,"Itay Berger",11/3/2020,2020,11,3,549,Israel,IL-M,HaMerkaz,,"שדות קיבוץ עינת",32.0891,34.9433,,,,Unspecified,,,,,,,,S75769098,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MTA2NDU2MQ",3456,4608,"https://macaulaylibrary.org/asset/276987311","https://ebird.org/view/checklist/S75769098","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
276987291,Photo,"Alectoris chukar",Chukar,,"Itay Berger",11/3/2020,2020,11,3,549,Israel,IL-M,HaMerkaz,,"שדות קיבוץ עינת",32.0891,34.9433,,,,Unspecified,,,,,,,,S75769098,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MTA2NDU2MQ",3456,4608,"https://macaulaylibrary.org/asset/276987291","https://ebird.org/view/checklist/S75769098","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
276975591,Photo,"Alectoris chukar",Chukar,,"noam shraga",8/26/2020,2020,8,26,0,Israel,IL-D,HaDarom,,"Makhtesh Ramon מכתש רמון",30.613,34.8577,,,,Unspecified,,,,,,,,S75770738,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MTgyNDk4OA",3456,4608,"https://macaulaylibrary.org/asset/276975591","https://ebird.org/view/checklist/S75770738","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
276975491,Photo,"Alectoris chukar",Chukar,,"noam shraga",8/26/2020,2020,8,26,0,Israel,IL-D,HaDarom,,"Makhtesh Ramon מכתש רמון",30.613,34.8577,,,,Unspecified,,,,,,,,S75770738,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MTgyNDk4OA",2304,3074,"https://macaulaylibrary.org/asset/276975491","https://ebird.org/view/checklist/S75770738","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
276692191,Photo,"Alectoris chukar",Chukar,,"Karma Sonam",11/2/2020,2020,11,2,826,India,IN-JK-LE,"Jammu and Kashmir","Leh (ladakh)",Rumtse,33.6299,77.7591,,,,Unspecified,,,,,,,,S75726868,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MzgyNzMx",3456,4608,"https://macaulaylibrary.org/asset/276692191","https://ebird.org/view/checklist/S75726868","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
276533371,Photo,"Alectoris chukar",Chukar,,"Steve Rottenborn",10/31/2020,2020,10,31,1511,"United States",US-CA-069,California,"San Benito","Panoche Valley--Shotgun Pass",36.6738,-120.8666,,,,Unspecified,,,,,,,,S75714591,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,0.0,0,committed,,"https://ebird.org/profile/MjI3MDgw",2360,3535,"https://macaulaylibrary.org/asset/276533371","https://ebird.org/view/checklist/S75714591","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
