"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)","Media notes","Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,mediaDownloadUrl,report_as
143337511,Photo,"Alectoris chukar",Chukar,,"Kimra McAfee",12/1/2018,2018,12,1,1354,"United States",US-NV-510,Nevada,"Carson City","Carson City, NV",39.1419,-119.7637,,Unknown,,Unspecified,,,,,,,,S53289500,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,2.0,1,committed,,,3024,4032,"https://macaulaylibrary.org/asset/143337511","https://ebird.org/view/checklist/S53289500","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
143337501,Photo,"Alectoris chukar",Chukar,,"Kimra McAfee",12/1/2018,2018,12,1,1354,"United States",US-NV-510,Nevada,"Carson City","Carson City, NV",39.1419,-119.7637,,Unknown,,Unspecified,,,,,,,,S53289500,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,2.0,1,committed,,,3024,4032,"https://macaulaylibrary.org/asset/143337501","https://ebird.org/view/checklist/S53289500","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
143337491,Photo,"Alectoris chukar",Chukar,,"Kimra McAfee",12/1/2018,2018,12,1,1354,"United States",US-NV-510,Nevada,"Carson City","Carson City, NV",39.1419,-119.7637,,Unknown,,Unspecified,,,,,,,,S53289500,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,2.0,1,committed,,,3024,4032,"https://macaulaylibrary.org/asset/143337491","https://ebird.org/view/checklist/S53289500","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
143332591,Photo,"Alectoris chukar",Chukar,,"Jeff Bleam",3/1/2019,2019,3,1,1051,"United States",US-NV-031,Nevada,Washoe,"Pyramid Lake--Spider Point Overlook",40.0149,-119.629,,Adult,,Unspecified,,,,,,,,S53281507,,,,,,,,,"Alectoris chukar",chukar,Species,1202.0,,,3.0,1,committed,,"https://ebird.org/profile/NTA2Nzc",1599,2400,"https://macaulaylibrary.org/asset/143332591","https://ebird.org/view/checklist/S53281507","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
143332581,Photo,"Alectoris chukar",Chukar,,"Jeff Bleam",3/1/2019,2019,3,1,1051,"United States",US-NV-031,Nevada,Washoe,"Pyramid Lake--Spider Point Overlook",40.0149,-119.629,,Adult,,Unspecified,,,,,,,,S53281507,,,,,,,,,"Alectoris chukar",chukar,Species,1202.0,,,3.0,1,committed,,"https://ebird.org/profile/NTA2Nzc",1599,2400,"https://macaulaylibrary.org/asset/143332581","https://ebird.org/view/checklist/S53281507","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
143327261,Photo,"Alectoris chukar",Chukar,,"Eliza  Wein",3/2/2019,2019,3,2,1428,Israel,IL-JM,Yerushalayim,,"Tzova, Zova IL-Jerusalem (31.7833,35.1194)",31.7833,35.1194,,Unknown,,Unspecified,,,,,,,,S53278207,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,4.36,25,committed,,"https://ebird.org/profile/ODY5NTI3",1536,2304,"https://macaulaylibrary.org/asset/143327261","https://ebird.org/view/checklist/S53278207","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
143327241,Photo,"Alectoris chukar",Chukar,,"Eliza  Wein",3/2/2019,2019,3,2,1428,Israel,IL-JM,Yerushalayim,,"Tzova, Zova IL-Jerusalem (31.7833,35.1194)",31.7833,35.1194,,Unknown,,Unspecified,,,,,,,,S53278207,,,,,,,,,"Alectoris chukar",chukar,Species,1214.0,,,4.166666666666667,12,committed,,"https://ebird.org/profile/ODY5NTI3",1536,2304,"https://macaulaylibrary.org/asset/143327241","https://ebird.org/view/checklist/S53278207","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
143324671,Photo,"Alectoris chukar",Chukar,,"Eve Wills",3/2/2019,2019,3,2,827,"United States",US-MT-001,Montana,Beaverhead,"1321 Pipe Organ Rd, Dillon US-MT (45.0665,-112.8054)",45.0665,-112.8054,,Unknown,,Unspecified,,,,,,,,S53283273,,,,,"Birds previously seen in area.",,,,"Alectoris chukar",chukar,Species,1202.0,,,2.0,1,committed,,"https://ebird.org/profile/MjE5MTk1",2879,3838,"https://macaulaylibrary.org/asset/143324671","https://ebird.org/view/checklist/S53283273","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
143324661,Photo,"Alectoris chukar",Chukar,,"Eve Wills",3/2/2019,2019,3,2,827,"United States",US-MT-001,Montana,Beaverhead,"1321 Pipe Organ Rd, Dillon US-MT (45.0665,-112.8054)",45.0665,-112.8054,,Unknown,,Unspecified,,,,,,,,S53283273,,,,,"Birds previously seen in area.",,,,"Alectoris chukar",chukar,Species,1202.0,,,2.0,1,committed,,"https://ebird.org/profile/MjE5MTk1",2429,3239,"https://macaulaylibrary.org/asset/143324661","https://ebird.org/view/checklist/S53283273","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
143324621,Photo,"Alectoris chukar",Chukar,,"Eve Wills",3/2/2019,2019,3,2,827,"United States",US-MT-001,Montana,Beaverhead,"1321 Pipe Organ Rd, Dillon US-MT (45.0665,-112.8054)",45.0665,-112.8054,,Unknown,,Unspecified,,,,,,,,S53283273,,,,,"Birds previously seen in area.",,,,"Alectoris chukar",chukar,Species,1202.0,,,2.0,1,committed,,"https://ebird.org/profile/MjE5MTk1",1977,2636,"https://macaulaylibrary.org/asset/143324621","https://ebird.org/view/checklist/S53283273","https://ebird.org/species/chukar",false,"https://cdn.download.ams.birds.cornell.edu/api/v1/asset/",chukar
